isin,issuer_name,sector,exchange,listing_status,coupon_rate,coupon_type,current_yield_ytm,last_traded_price,accrued_interest,issue_date,maturity_date,repayment_mode,call_put_option,premature_withdrawal_allowed,rating_current,rating_agency,rating_outlook,rating_date,secured_unsecured,seniority,security_cover_ratio,daily_volume_units,daily_value_inr_cr,num_trades,issue_size_inr_cr,outstanding_inr_cr,tax_status,tds_applicable,min_investment_units,lot_size
INE001A07SD4,HDFC Bank Ltd,Banking,Both,Listed,7.95,Fixed,7.82,1008.50,12.30,2021-09-15,2031-09-15,Bullet,No,No,AAA,CRISIL,Stable,2024-01-10,Unsecured,Senior,0.0,4500,4.54,42,5000.0,5000.0,Taxable,Yes,10,10
INE296A07RO2,Bajaj Finance Ltd,NBFC,Both,Listed,8.25,Fixed,8.10,1005.00,8.50,2022-03-20,2029-03-20,Bullet,No,No,AAA,CRISIL,Stable,2024-02-15,Secured,Senior,1.25,12000,12.06,115,2500.0,2500.0,Taxable,Yes,1,1
INE556F08KB5,Small Industries Dev Bank (SIDBI),FI / Bank,NSE,Listed,7.70,Fixed,7.65,1001.20,5.10,2023-01-10,2028-01-10,Bullet,No,No,AAA,CARE,Stable,2023-12-05,Unsecured,Senior,0.0,8500,8.51,60,4000.0,4000.0,Taxable,No,5,5
INE244L07153,Piramal Capital & Housing Fin,Housing Finance,NSE,Listed,9.75,Fixed,10.25,985.00,24.50,2021-07-14,2028-07-14,Bullet,Yes,No,AA,ICRA,Stable,2024-01-22,Secured,Senior,1.10,1800,1.77,28,1000.0,850.0,Taxable,Yes,1,1
INE020B08DF6,REC Limited,Infra / NBFC,Both,Listed,7.54,Fixed,7.48,1004.00,18.90,2020-04-15,2025-04-15,Bullet,No,No,AAA,India Ratings,Stable,2024-03-01,Secured,Senior,1.15,9500,9.54,84,3000.0,3000.0,54EC,No,1,1
INE756I07DT0,InCred Financial Services,NBFC,BSE,Listed,10.30,Fixed,10.65,992.50,14.20,2023-05-12,2026-11-12,Amortizing,No,No,A+,CRISIL,Positive,2023-11-18,Secured,Senior,1.15,620,0.62,14,200.0,180.0,Taxable,Yes,1,1
INE121A08OE8,Cholamandalam Inv & Fin,NBFC,NSE,Listed,8.40,Fixed,8.28,1006.10,7.80,2022-10-18,2029-10-18,Bullet,No,No,AA+,ICRA,Stable,2024-01-15,Secured,Senior,1.20,5400,5.43,39,1200.0,1200.0,Taxable,Yes,1,1
INE002A08526,Reliance Industries Ltd,Manufacturing,Both,Listed,7.62,Fixed,7.50,1010.00,11.10,2020-03-23,2027-03-23,Bullet,No,No,AAA,CRISIL,Stable,2023-10-11,Secured,Senior,1.50,15000,15.15,140,7500.0,7500.0,Taxable,Yes,10,10
INE040A08377,HDFC Credila Financial Services,Education NBFC,NSE,Listed,8.90,Fixed,9.15,990.00,6.40,2023-08-01,2030-08-01,Bullet,No,No,AA+,CRISIL,Stable,2024-02-28,Secured,Senior,1.10,800,0.79,16,500.0,500.0,Taxable,Yes,1,1
INE528S07078,Edelweiss Financial Services,NBFC,BSE,Listed,10.40,Floating,11.20,970.00,32.00,2022-01-07,2027-01-07,Bullet,Yes,No,A+,CRISIL,Negative,2023-09-12,Secured,Subordinated,1.10,400,0.39,11,400.0,320.0,Taxable,Yes,1,1
INE040A08450,Aditya Birla Capital Ltd,NBFC,NSE,Listed,8.10,Fixed,8.25,1002.50,9.80,2026-09-09,2029-09-07,Bullet,No,No,AA+,CRISIL,Stable,2026-09-02,Secured,Senior,1.20,3100,3.11,48,2335.0,2335.0,Taxable,Yes,1,1
INE000A07327,GMR Airports Infrastructure Ltd,Infra / Aviation,NSE,Listed,9.56,Fixed,9.70,996.00,10.20,2026-09-09,2029-09-09,Bullet,No,No,AA-,CRISIL,Stable,2026-09-05,Secured,Senior,1.10,2200,2.19,35,1500.0,1500.0,Taxable,Yes,1,1
IN0020220011,Government of India (GoI),Sovereign Gilt,Both,Listed,7.10,Fixed,7.18,1003.20,15.40,2022-04-18,2029-04-18,Bullet,No,No,AAA,RBI,Stable,2026-06-15,Unsecured,Sovereign,0.0,25000,25.08,210,50000.0,50000.0,Taxable,No,10000,10
IN0020030022,Government of India (GoI),Sovereign Gilt,Both,Listed,6.13,Fixed,6.20,998.50,11.20,2018-06-04,2028-06-04,Bullet,No,No,AAA,RBI,Stable,2026-06-15,Unsecured,Sovereign,0.0,18000,18.01,165,40000.0,40000.0,Taxable,No,10000,10
IN0020240019,Government of India (SGrB),Sovereign Green (GE SEC),Both,Listed,7.28,Fixed,7.35,1005.80,13.90,2023-01-25,2033-01-25,Bullet,No,No,AAA,RBI,Stable,2026-06-15,Unsecured,Sovereign,0.0,9000,9.05,95,20000.0,20000.0,Taxable,No,10000,10
